Trial #: 1
Process_ID	Burst_time	Wait_time	complete_time
3			31			0			31
6			34			31			65
2			46			65			111
14			48			111			159
8			56			159			215
10			60			215			275
1			65			275			340
15			69			340			409
4			98			409			507
5			102			507			609
7			103			609			712
12			103			712			815
11			114			815			929
13			114			929			1043
9			122			1043			1165

Total wait time: 6220
Average wait time: 414.66666

Trial #: 2
Process_ID	Burst_time	Wait_time	complete_time
10			20			0			20
8			34			20			54
14			46			54			100
5			48			100			148
13			54			148			202
11			71			202			273
3			73			273			346
9			75			346			421
1			77			421			498
12			107			498			605
15			116			605			721
6			119			721			840
2			120			840			960
7			126			960			1086
4			132			1086			1218

Total wait time: 6274
Average wait time: 418.26666

Trial #: 3
Process_ID	Burst_time	Wait_time	complete_time
14			48			0			48
2			49			48			97
6			63			97			160
11			66			160			226
8			85			226			311
12			85			311			396
9			89			396			485
15			108			485			593
10			110			593			703
13			111			703			814
7			131			814			945
4			134			945			1079
1			138			1079			1217
3			146			1217			1363
5			149			1363			1512

Total wait time: 8437
Average wait time: 562.4667

Trial #: 4
Process_ID	Burst_time	Wait_time	complete_time
7			27			0			27
4			30			27			57
9			34			57			91
3			37			91			128
14			66			128			194
8			70			194			264
2			77			264			341
5			77			341			418
13			78			418			496
15			80			496			576
11			88			576			664
12			92			664			756
10			93			756			849
1			109			849			958
6			113			958			1071

Total wait time: 5819
Average wait time: 387.93332

Trial #: 5
Process_ID	Burst_time	Wait_time	complete_time
10			31			0			31
13			59			31			90
12			64			90			154
3			67			154			221
9			67			221			288
5			72			288			360
1			81			360			441
11			92			441			533
4			124			533			657
15			124			657			781
8			128			781			909
6			133			909			1042
14			136			1042			1178
2			139			1178			1317
7			141			1317			1458

Total wait time: 8002
Average wait time: 533.4667

Trial #: 6
Process_ID	Burst_time	Wait_time	complete_time
6			32			0			32
11			32			32			64
2			51			64			115
5			54			115			169
3			84			169			253
8			85			253			338
13			86			338			424
10			87			424			511
1			99			511			610
14			102			610			712
7			103			712			815
12			107			815			922
15			111			922			1033
9			112			1033			1145
4			140			1145			1285

Total wait time: 7143
Average wait time: 476.2

Trial #: 7
Process_ID	Burst_time	Wait_time	complete_time
12			26			0			26
6			28			26			54
14			38			54			92
1			46			92			138
13			54			138			192
5			61			192			253
3			68			253			321
10			95			321			416
15			99			416			515
4			100			515			615
11			102			615			717
7			111			717			828
8			126			828			954
2			130			954			1084
9			140			1084			1224

Total wait time: 6205
Average wait time: 413.66666

Trial #: 8
Process_ID	Burst_time	Wait_time	complete_time
3			27			0			27
6			28			27			55
2			29			55			84
8			35			84			119
13			45			119			164
4			48			164			212
11			63			212			275
14			66			275			341
15			91			341			432
5			101			432			533
1			104			533			637
7			104			637			741
10			121			741			862
12			125			862			987
9			130			987			1117

Total wait time: 5469
Average wait time: 364.6

Trial #: 9
Process_ID	Burst_time	Wait_time	complete_time
9			28			0			28
6			54			28			82
1			59			82			141
13			72			141			213
15			75			213			288
11			81			288			369
8			90			369			459
2			102			459			561
7			107			561			668
3			109			668			777
4			109			777			886
10			112			886			998
5			118			998			1116
14			133			1116			1249
12			134			1249			1383

Total wait time: 7835
Average wait time: 522.3333

Trial #: 10
Process_ID	Burst_time	Wait_time	complete_time
5			21			0			21
8			26			21			47
1			45			47			92
13			47			92			139
6			49			139			188
3			61			188			249
11			66			249			315
14			76			315			391
9			79			391			470
2			88			470			558
4			103			558			661
7			119			661			780
12			128			780			908
10			141			908			1049
15			141			1049			1190

Total wait time: 5868
Average wait time: 391.2

